study,name,label,label_de,description,description_de,topic,topic_old
soep-core-preview,_100_p_tim,"hours sunday job, training","beruf,lehre,nebenerw. std., so",,,tim,t0901000000000000
soep-core-preview,_1000_p_ila,developments in cost of living,entwicklung des lebensunterhaltskosten,,,ila,t0802030000000000
soep-core-preview,_1001_p_ila,developments in local environment,entwicklung d. reg. umweltsituation,,,ila,t0802030000000000
soep-core-preview,_1002_p_ila,developments in political activity,entwicklung der polit. einflussnahme,,,ila,t0802030000000000
soep-core-preview,_1004_p_dtw,place of work in east or west germany,arbeitsplatz in alten bzw. neuen bl.,,,dtw,t0203050100000000
soep-core-preview,_1005_p_trf,no income at all prev yr,1993 ueberhaupt keine einkuenfte,,,trf,t0302000000000000
soep-core-preview,_1007_p_isd,disability benefits declined,erwerbsunfaehigkeitsrente abgelehnt,,,isd,t0501040000000000
soep-core-preview,_1008_p_isd,year declined disability benefits,jahr ablehnung d. erwerbsunfaehigk.rente,,,isd,t0501040000000000
soep-core-preview,_1009_p_dov,number of visits to general practitioner,anzahl d. besuche bei prakt. arzt,,,dov,t0502020000000000
soep-core-preview,_101_p_tim,hours sunday on handicraft work,"nebenerwerbsttgkt,sonntg.o.ber.tgkt,std",,,tim,t0901000000000000
soep-core-preview,_1010_p_dov,number of visits to internist,anzahl d. besuche beim internisten,,,dov,t0502020000000000
soep-core-preview,_1011_p_dov,number of visits to dentist,anzahl d. besuche beim zahnarzt,,,dov,t0502020000000000
soep-core-preview,_1012_p_dov,number of visits to gynecologist,anzahl d. besuche beim frauenarzt,,,dov,t0502020000000000
soep-core-preview,_1013_p_dov,number of visits to ent specialist,anzahl d. besuche beim h-n-o arzt,,,dov,t0502020000000000
soep-core-preview,_1014_p_dov,number of visits to orthopaedist,anzahl d. besuche beim orthopaeden,,,dov,t0502020000000000
soep-core-preview,_1015_p_dov,number of visits to dermatologist,anzahl d. besuche beim hautarzt,,,dov,t0502020000000000
soep-core-preview,_1016_p_dov,number of visits to urologist,anzahl d. besuche beim urologen,,,dov,t0502020000000000
soep-core-preview,_1017_p_dov,number of visits to optometrist,anzahl d. besuche beim augenarzt,,,dov,t0502020000000000
